feature_set,model,n_records,n_positive,n_negative,n_features,train_balanced_accuracy_mean,train_balanced_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,train_f1_mean,train_f1_std,test_f1_mean,test_f1_std,train_precision_mean,train_precision_std,test_precision_mean,test_precision_std,train_recall_mean,train_recall_std,test_recall_mean,test_recall_std,train_roc_auc_mean,train_roc_auc_std,test_roc_auc_mean,test_roc_auc_std,gap_balanced_accuracy,gap_roc_auc
V1-V2,Dummy Classifier,361,74,287,32,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
V1-V2,Logistic Regression,361,74,287,32,0.8847785647550734,0.021153615859583495,0.848459078731311,0.046403274449461955,0.7621073356171466,0.037907878188125035,0.7080125445642688,0.04569451436236074,0.6721384977065099,0.048894824914509215,0.6277489177489177,0.05245788775955074,0.8819209039548023,0.027353036015616273,0.8257142857142856,0.10739546940198441,0.9482960529209159,0.007495611702236683,0.9069636735516953,0.021025995276104874,0.03631948602376245,0.04133237936922063
V1-V2,Ridge Classifier,361,74,287,32,0.882155806487253,0.014063291915747083,0.8415461066459251,0.040715281873836835,0.7784412240765306,0.0281479812760762,0.7087168224821688,0.03629458681930009,0.7179773622228866,0.04144142912048923,0.649057426174131,0.05187652120143178,0.851412429378531,0.01920903954802259,0.7980952380952381,0.1104761904761905,0.9466871223554827,0.007459121223100393,0.9060029383804338,0.038427655262151666,0.040609699841327895,0.040684183975048915
V1-V2,Linear SVM,361,74,287,32,0.8938056108871033,0.012896984424317623,0.8403586552588369,0.06112323023355557,0.7798031505022862,0.023260775233542377,0.7008515868809987,0.061813364922836664,0.6956769626769627,0.033702168352360125,0.6399034088359704,0.04079491093851699,0.8886440677966101,0.022096391169806478,0.799047619047619,0.151197787599742,0.9556429919153369,0.009812683913661666,0.9005078788926338,0.03121124894668064,0.0534469556282664,0.05513511302270302
V1-V2,LDA Shrinkage,361,74,287,32,0.8192898700897497,0.017334720344556465,0.7943012704174228,0.11340721462479218,0.7515122292103424,0.024399965926776054,0.6872445067788687,0.17769192326163188,0.8645786498530279,0.0204204088912576,0.8322222222222223,0.07152656417524926,0.665593220338983,0.03559967657345279,0.62,0.2324746103221693,0.9305776291781577,0.008416032325680719,0.9087563736928528,0.04554363294580261,0.024988599672326917,0.02182125548530489
V1-V2,Gaussian NB,361,74,287,32,0.8091070775396109,0.01051033442353802,0.786433324691038,0.048596143304927585,0.673977132366651,0.02400186614284686,0.6372792041757559,0.06598419049814518,0.626755628529114,0.047126779856124866,0.5986946386946388,0.09290599817696792,0.7331638418079096,0.028547346704417845,0.7019047619047619,0.11824874815366673,0.8935143345357888,0.00543663474799654,0.8733534986892518,0.032069841391566,0.02267375284857287,0.02016083584653694
V1-V2,KNN,361,74,287,32,0.7814089646761254,0.013937806348655452,0.76700285195748,0.10117876888981385,0.7061066592981486,0.02115935732682648,0.6594566353187042,0.15930699003343998,0.9098168498168497,0.009648104107343191,0.8893772893772894,0.06433344084781323,0.5776271186440678,0.029286252293498547,0.5514285714285715,0.20788100555763947,0.9378531609777969,0.008902132340190485,0.8526484314233862,0.05596688062138274,0.014406112718645447,0.08520472955441072
V1-V2,RBF SVM,361,74,287,32,0.9290808509223295,0.010914771332728246,0.8268230922132919,0.04445179128581801,0.8602484799766603,0.020663531879705193,0.7177955377955378,0.05571716195007392,0.8153242404981219,0.03917929046693508,0.7159307359307359,0.04506691031180615,0.9121468926553673,0.022535221101897332,0.7304761904761904,0.10157936476932103,0.9703176799580373,0.00854137861131103,0.8927750410509031,0.03379928833241952,0.10225775870903764,0.0775426389071342
V1-V2,Random Forest,361,74,287,32,1.0,0.0,0.7390579898020914,0.04097424146015079,1.0,0.0,0.6268398268398269,0.06167274049699786,1.0,0.0,0.8744810744810744,0.0743524580570845,1.0,0.0,0.49904761904761896,0.09497105418908883,1.0,4.965068306494546e-17,0.8770593149540519,0.03933991935769037,0.26094201019790864,0.12294068504594813
V1-V2,Extra Trees,361,74,287,32,1.0,0.0,0.7541457091003371,0.06654030400330904,1.0,0.0,0.6497971014492754,0.11116249587470105,1.0,0.0,0.8873260073260074,0.06062579809098361,1.0,0.0,0.5257142857142857,0.1379342246874794,1.0,0.0,0.8920430386310605,0.02761973859260233,0.24585429089966293,0.10795696136893951
V1-V2,Gradient Boosting,361,74,287,32,1.0,0.0,0.8001659320715582,0.06718619993665256,1.0,0.0,0.707060053550937,0.08894791954160768,1.0,0.0,0.8450649350649352,0.0847840111964651,1.0,0.0,0.6352380952380952,0.15496616557060233,1.0,0.0,0.894410451415896,0.03617192350212856,0.19983406792844183,0.10558954858410396
V1-V3,Dummy Classifier,361,74,287,48,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
V1-V3,Logistic Regression,361,74,287,48,0.9104056222573341,0.014589488417088207,0.8621130412237491,0.048242635536462145,0.8050611376898116,0.023147654945862614,0.7322085588878758,0.05684049054875173,0.7210363418192404,0.029999248361933496,0.6533208020050125,0.04539887700764264,0.9122598870056496,0.02443370559105994,0.839047619047619,0.0989009903675975,0.9627907909711786,0.007068061663480328,0.9160303056491804,0.0224543829680789,0.048292581033585025,0.04676048532199817
V1-V3,Ridge Classifier,361,74,287,48,0.8986334430667873,0.009109186743981493,0.8389603318641431,0.0660661979532029,0.7983979868480955,0.016681877035215932,0.7047389043593978,0.09039759816217804,0.730159478742743,0.026808455744706996,0.6346491228070176,0.08070175438596491,0.8817514124293785,0.018583706431230116,0.7961904761904762,0.11406327559298947,0.961504420981723,0.0073876641039411686,0.918342983896523,0.0412682807528302,0.05967311120264418,0.04316143708519993
V1-V3,Linear SVM,361,74,287,48,0.9143205643496067,0.016144851236474522,0.8453314320283468,0.04987126783873769,0.816060469547198,0.026350180155039562,0.708921538100855,0.06039282519330547,0.7386963615836855,0.03222318522143642,0.6348236640193835,0.05781295120269478,0.9122598870056496,0.02443370559105994,0.8123809523809525,0.1056069811476504,0.9680485036883526,0.007332763501550364,0.9049814190649037,0.026629715362715918,0.06898913232125992,0.0630670846234489
V1-V3,LDA Shrinkage,361,74,287,48,0.8352847116520195,0.02181616245433186,0.8051084608071903,0.09578265296910955,0.7717785772626531,0.030640864916130085,0.7062209188660802,0.14371240325429485,0.8625196108239587,0.019832684599182117,0.8081601731601731,0.0740459581642797,0.699322033898305,0.043379235994702066,0.6485714285714286,0.19495682410550838,0.9453426783758591,0.009117247836097969,0.9212747385705644,0.04249438301422727,0.03017625084482911,0.024067939805294647
V1-V3,Gaussian NB,361,74,287,48,0.802892168378101,0.013532825231363574,0.7730351741422522,0.06525609812767359,0.6731145734749135,0.038413386893460494,0.6242415402381377,0.0866271959835765,0.6445939284209772,0.07541943377541932,0.6143363756986048,0.11541463718956771,0.7128813559322034,0.02782140275075687,0.660952380952381,0.14299675717427401,0.8840583142667435,0.0030868501262448222,0.8539966295047965,0.03588479842602179,0.029856994235848755,0.03006168476194704
V1-V3,KNN,361,74,287,48,0.7532740418703386,0.025555294166782993,0.7114691902169216,0.07691969001233276,0.6621776431453851,0.040495889832041415,0.5691188811188812,0.1461459200848766,0.928635739056468,0.014675307774346814,0.8351515151515152,0.11269468411315839,0.5170056497175142,0.05409597881720641,0.44380952380952376,0.15137764941947068,0.937582216959021,0.009298131107549092,0.8513013856480282,0.03040631618698436,0.041804851653417074,0.08628083131099284
V1-V3,RBF SVM,361,74,287,48,0.9385134227719979,0.007413559610778573,0.7849943825079941,0.07782598807801615,0.8794177095151486,0.012311889852259214,0.6371740024681202,0.10312608333011336,0.8410574467236014,0.025671756258139264,0.6115470494417863,0.048250672622882136,0.922316384180791,0.01718294500084242,0.6780952380952381,0.1633437453296636,0.9813944086353684,0.004093371612445519,0.8931132428773083,0.02925259261276432,0.15351904026400376,0.08828116575806011
V1-V3,Random Forest,361,74,287,48,1.0,0.0,0.7407821277331259,0.03969421763798479,1.0,0.0,0.6325541125541125,0.05745317810960201,1.0,0.0,0.9030525030525031,0.08833367911000835,1.0,0.0,0.49904761904761896,0.09497105418908883,1.0,0.0,0.882254774868205,0.04125789623400154,0.2592178722668741,0.11774522513179497
V1-V3,Extra Trees,361,74,287,48,1.0,0.0,0.7420603232218477,0.07938093649442889,1.0,0.0,0.6244838182412553,0.13932983038755503,1.0,0.0,0.9158974358974359,0.07222217164818943,1.0,0.0,0.4980952380952381,0.1675649263275205,1.0,0.0,0.8914774003975456,0.03905520828757773,0.2579396767781523,0.10852259960245436
V1-V3,Gradient Boosting,361,74,287,48,1.0,0.0,0.7850479647394348,0.07826276435038254,1.0,0.0,0.6790024630541872,0.11336718813465509,1.0,0.0,0.8202427637721756,0.07149281330221446,1.0,0.0,0.6085714285714285,0.17468857940129526,1.0,0.0,0.8826739261947975,0.05143448021092447,0.21495203526056517,0.11732607380520255
